Issue Type,Summary,Description,Priority,Assignee,Sprint
Epic,"EPIC 1 - Initialisation & Data Engineering","Préparer le terrain pour que tout le monde puisse travailler. C'est la fondation de la maison.",High,,Sprint 1
Story,"US-1 : Initialisation du projet (Personne C)","Mise en place des outils de base.",High,Personne C,Sprint 1
Sub-task,"ST-1.1 : Création du repo Git + branches","1. Allez sur GitHub.com et créez un compte si besoin. 2. Cliquez sur le bouton + en haut à droite > New Repository. 3. Nommez-le analyse-tickets-ia. Cochez Public. Cliquez Create repository. 4. Sur votre ordinateur créez un dossier vide pour le projet. 5. Ouvrez ce dossier avec VS Code. 6. Ouvrez le terminal et tapez : git clone [votre_lien_github] . 7. Tapez : git checkout -b dev (ça crée une branche de travail). 8. Créez un fichier texte CONTRIBUTING.md et écrivez dedans : Format des commits : [feat] pour ajout [fix] pour correction. 9. Tapez : git add . puis git commit -m feat: initialisation puis git push origin dev.",High,Personne C,Sprint 1
Sub-task,"ST-1.2 : Setup environnement Python","1. Dans VS Code créez un fichier nommé requirements.txt à la racine du projet. 2. Collez cette liste dedans : pandas scikit-learn streamlit langchain chromadb sentence-transformers matplotlib openai. 3. Ouvrez le terminal. 4. Tapez : pip install -r requirements.txt 5. Regardez si des barres de chargement apparaissent. Si ça finit sans rouge c'est gagné. 6. Tapez : pip list pour vérifier que pandas est bien là.",High,Personne C,Sprint 1
Sub-task,"ST-1.3 : Création des dossiers","1. Dans la barre de gauche de VS Code (Explorateur) faites clic-droit dans le vide > Nouveau Dossier. 2. Créez le dossier data (pour les fichiers CSV). 3. Créez le dossier models (pour sauvegarder les IA). 4. Créez le dossier app (pour le site web). 5. Créez le dossier src (pour le code). 6. DANS le dossier src créez deux sous-dossiers : ml et rag. 7. Vérifiez que vous avez bien 4 dossiers principaux et 2 sous-dossiers.",High,Personne C,Sprint 1
Story,"US-2 : Préparation des données (Personne A)","Trouver et nettoyer les données pour qu'elles soient lisibles par l'ordi.",High,Personne A,Sprint 1
Sub-task,"ST-2.1 : Télécharger les données","1. Allez sur le site Kaggle.com (créez un compte gratuit). 2. Cherchez Customer Support Ticket Dataset OU utilisez des tickets d'entreprises marocaines (Maroc Telecom ONCF OCP). 3. Téléchargez le fichier CSV (bouton Download). 4. Dézippez le fichier si nécessaire. 5. Prenez le fichier .csv et glissez-le dans le dossier data de votre projet VS Code. 6. Renommez le fichier en tickets_maroc.csv pour que ce soit plus simple.",High,Personne A,Sprint 1
Sub-task,"ST-2.2 : Nettoyer le texte","1. Créez un fichier clean_data.py dans src/ml. 2. Écrivez le code : import pandas as pd. 3. Chargez les données : df = pd.read_csv(data/tickets.csv). 4. Mettez tout en minuscule : df[text] = df[text].str.lower() 5. Enlevez la ponctuation simple si besoin. 6. Sauvegardez : df.to_csv(data/tickets_cleaned.csv index=False). 7. Lancez le script avec le bouton Play ou python src/ml/clean_data.py.",High,Personne A,Sprint 1
Sub-task,"ST-2.3 : Couper les données en morceaux","1. Dans votre script python importez : from sklearn.model_selection import train_test_split 2. Ajoutez la ligne pour couper : train test = train_test_split(df test_size=0.2) (ça garde 20% pour vérifier à la fin). 3. Sauvegardez deux fichiers : train.to_csv(data/train.csv) et test.to_csv(data/test.csv). 4. Vérifiez dans le dossier data que les nouveaux fichiers sont apparus.",High,Personne A,Sprint 1
Epic,"EPIC 2 - ML Classique : Classification & Régression","Construire des modèles pour prédire les catégories et valeurs numériques.",High,,Sprint 1
Story,"US-3 : Classification ML (Personne A)","L'IA doit deviner si un ticket est Urgent ou Pas Urgent.",High,Personne A,Sprint 1
Sub-task,"ST-3.1 : Transformer les mots en chiffres (TF-IDF)","1. Créez un fichier train_model.py dans src/ml. 2. Importez : from sklearn.feature_extraction.text import TfidfVectorizer 3. Créez l'outil : vectorizer = TfidfVectorizer(max_features=5000) 4. Transformez vos textes : X = vectorizer.fit_transform(df[text]) 5. C'est magique vos phrases sont devenues un tableau de chiffres géant.",High,Personne A,Sprint 1
Sub-task,"ST-3.2 : Entraîner le modèle Random Forest","1. Importez : from sklearn.ensemble import RandomForestClassifier 2. Créez le modèle : model = RandomForestClassifier(n_estimators=100) 3. Lancez l'entraînement : model.fit(X df[category]) (remplacez category par la colonne que vous voulez prédire). 4. Attendez que ça finisse de calculer (ça peut prendre quelques secondes).",High,Personne A,Sprint 1
Sub-task,"ST-3.3 : Évaluation du modèle","1. Importez : from sklearn.metrics import classification_report confusion_matrix 2. Faites des prédictions sur test : y_pred = model.predict(X_test) 3. Affichez le rapport : print(classification_report(y_test y_pred)) 4. Matrice de confusion : print(confusion_matrix(y_test y_pred)) 5. Notez les scores F1 et accuracy quelque part.",Medium,Personne A,Sprint 1
Sub-task,"ST-3.4 : Sauvegarder le cerveau de l'IA","1. Importez : import joblib 2. Sauvegardez le modèle : joblib.dump(model models/classifier.pkl) 3. TRES IMPORTANT : Sauvegardez aussi le traducteur de mots : joblib.dump(vectorizer models/vectorizer.pkl) 4. Vérifiez que les deux fichiers .pkl sont bien dans le dossier models.",High,Personne A,Sprint 1
Story,"US-4 : Régression ML (Personne A)","Prédire des valeurs numériques comme le temps de résolution.",Medium,Personne A,Sprint 1
Sub-task,"ST-4.1 : Créer des features numériques","1. Dans un nouveau fichier regression.py ajoutez : df[text_length] = df[text].str.len() 2. Comptez les mots : df[word_count] = df[text].str.split().str.len() 3. Cherchez des mots-clés urgents en français/arabe : df[urgent_words] = df[text].str.contains(urgent|critique|bloquant|عاجل|مهم).astype(int) 4. Combinez avec TF-IDF pour avoir X complet.",Medium,Personne A,Sprint 1
Sub-task,"ST-4.2 : Entraîner modèle régression","1. Importez : from sklearn.linear_model import LinearRegression from sklearn.neighbors import KNeighborsRegressor 2. Testez Linear : reg_linear = LinearRegression().fit(X y_numeric) 3. Testez KNN : reg_knn = KNeighborsRegressor(n_neighbors=5).fit(X y_numeric) 4. Comparez les scores R2 : reg_linear.score(X_test y_test) vs reg_knn.score(X_test y_test).",Medium,Personne A,Sprint 1
Sub-task,"ST-4.3 : Sauvegarder le meilleur modèle","1. Choisissez le modèle avec le meilleur R2. 2. Sauvegardez : joblib.dump(meilleur_modele models/regressor.pkl) 3. Créez un fichier models/model_info.txt et notez : Modèle choisi : [nom] Score R2 : [valeur] Features utilisées : [liste].",Medium,Personne A,Sprint 1
Epic,"EPIC 3 - GenAI & RAG : Chatbot intelligent","Construire un chatbot qui répond aux questions sur les documents.",High,,Sprint 1
Story,"US-5 : Base vectorielle (Personne B)","Préparer la base de connaissance pour le chatbot.",High,Personne B,Sprint 1
Sub-task,"ST-5.1 : Vectorisation (Embeddings)","1. Créez un fichier ingest.py dans src/rag. 2. Importez : from langchain_community.embeddings import SentenceTransformerEmbeddings 3. Code pour charger le modèle : embeddings = SentenceTransformerEmbeddings(model_name=all-MiniLM-L6-v2) 4. Testez : print(embeddings.embed_query(bonjour)) 5. Si vous voyez une liste de chiffres s'afficher ça marche.",High,Personne B,Sprint 1
Sub-task,"ST-5.2 : Chunking des documents","1. Créez une fonction split_text(text max_length=500). 2. Elle doit découper en morceaux de 500 caractères max en gardant les phrases entières. 3. Testez sur un ticket : chunks = split_text(votre_ticket_test) print(len(chunks)) 4. Chaque chunk doit garder les métadonnées (id_ticket priorité etc.).",High,Personne B,Sprint 1
Sub-task,"ST-5.3 : Créer la base de données Chroma","1. Importez : from langchain_community.vectorstores import Chroma 2. Chargez vos textes nettoyés et chunked. 3. Créez la base : db = Chroma.from_texts(chunks embeddings persist_directory=./chroma_db) 4. Lancez le script. Un dossier chroma_db doit apparaître. C'est la mémoire de votre robot. 5. Testez recherche : results = db.similarity_search(probleme internet inwi k=3).",High,Personne B,Sprint 1
Story,"US-6 : Cerveau du Chatbot (Personne B)","Connecter l'intelligence (LLM) à la mémoire.",High,Personne B,Sprint 1
Sub-task,"ST-6.1 : Configurer le LLM","1. Obtenez une clé API (OpenAI ou Mistral) ou installez Ollama. 2. Créez un fichier chatbot.py. 3. Configurez le chat : Tu es un assistant support utile qui connaît le contexte marocain (français arabe dialecte). 4. Faites un test simple : demandez-lui Quelle est la capitale du Maroc ? pour voir s'il répond. 5. Si ça marche notez quelque part : LLM fonctionne ✓",High,Personne B,Sprint 1
Sub-task,"ST-6.2 : Template de prompt RAG","1. Créez un template : CONTEXTE: {context} QUESTION: {question} INSTRUCTIONS: Réponds en te basant UNIQUEMENT sur le contexte fourni. Si tu ne trouves pas la réponse dis Je ne trouve pas cette information dans les documents. 2. Testez le template avec du contexte bidon pour voir si ça marche.",High,Personne B,Sprint 1
Sub-task,"ST-6.3 : Fonction RAG complète","1. Créez une fonction ask_bot(query). 2. Étape A : Chercher dans la base Chroma les documents qui ressemblent à query. 3. Étape B : Construire un texte avec le template : context=documents_trouvés question=query. 4. Étape C : Envoyer ce texte au LLM. 5. Étape D : Retourner la réponse. 6. Testez avec : ask_bot(Comment résoudre un problème de connexion Maroc Telecom?)",High,Personne B,Sprint 1
Epic,"EPIC 4 - Interface Streamlit","Construire l'interface utilisateur qui combine tout.",High,,Sprint 1
Story,"US-7 : Squelette Streamlit (Personne C)","Faire le site web pour montrer le projet.",High,Personne C,Sprint 1
Sub-task,"ST-7.1 : Créer la page de base","1. Créez un fichier main.py dans le dossier app. 2. Écrivez : import streamlit as st 3. Écrivez : st.title(🤖 Assistant Support Intelligent) 4. Ajoutez deux colonnes : col1 col2 = st.columns(2) 5. Ouvrez le terminal et tapez : streamlit run app/main.py 6. Une page web doit s'ouvrir dans votre navigateur. Bravo !",High,Personne C,Sprint 1
Sub-task,"ST-7.2 : Zone upload de document","1. Dans col1 ajoutez : uploaded_file = st.file_uploader(Uploadez un ticket type=[txt csv]) 2. Ajoutez aussi : text_input = st.text_area(Ou collez votre texte ici height=200) 3. Bouton : if st.button(Analyser le document): 4. Pour l'instant affichez juste : st.write(Document reçu!) 5. Testez en uploadant un fichier texte.",Medium,Personne C,Sprint 1
Sub-task,"ST-7.3 : Zone chat","1. Dans col2 créez : if messages not in st.session_state: st.session_state.messages = [] 2. Affichez l'historique : for message in st.session_state.messages: st.chat_message(message[role]).write(message[content]) 3. Input chat : if prompt := st.chat_input(Posez votre question...): 4. Pour l'instant répondez : Merci pour votre question! 5. Testez le chat.",High,Personne C,Sprint 1
Story,"US-8 : Intégration ML (Personne C+A)","Connecter les modèles ML à l'interface.",High,Personne C,Sprint 1
Sub-task,"ST-8.1 : Charger les modèles au démarrage","1. En haut de main.py ajoutez : @st.cache_resource def load_models(): 2. Dans cette fonction : model = joblib.load(models/classifier.pkl) vectorizer = joblib.load(models/vectorizer.pkl) return model vectorizer 3. Appelez : classifier vectorizer = load_models() 4. Ajoutez gestion d'erreur si fichiers manquants.",High,Personne C,Sprint 1
Sub-task,"ST-8.2 : Prédictions en temps réel","1. Dans le bouton Analyser ajoutez la logique : if uploaded_file or text_input: 2. Récupérez le texte à analyser. 3. Transformez : X = vectorizer.transform([texte]) 4. Prédiction : prediction = classifier.predict(X)[0] proba = classifier.predict_proba(X)[0].max() 5. Affichez : st.success(f Catégorie: {prediction} (Confiance: {proba:.2%})).",High,Personne C,Sprint 1
Sub-task,"ST-8.3 : Dashboard visuel","1. Ajoutez une sidebar : st.sidebar.header(📊 Statistiques) 2. Compteurs : st.sidebar.metric(Documents analysés st.session_state.get(count 0)) 3. Si vous avez le régressor ajoutez : temps_estime = regressor.predict(X)[0] st.sidebar.metric(Temps estimé f{temps_estime:.1f}h) 4. Graphique simple avec les probabilités des classes.",Medium,Personne C,Sprint 1
Story,"US-9 : Intégration RAG (Personne C+B)","Connecter le chatbot à l'interface.",High,Personne C,Sprint 1
Sub-task,"ST-9.1 : Importer la fonction RAG","1. Dans main.py ajoutez : import sys sys.path.append(../src/rag) from chatbot import ask_bot 2. Testez l'import : st.write(RAG chargé ✓) 3. Si erreur ajustez le chemin ou copiez la fonction directement dans main.py.",High,Personne C,Sprint 1
Sub-task,"ST-9.2 : Chat fonctionnel","1. Dans le chat input remplacez la réponse bidon par : response = ask_bot(prompt) 2. Ajoutez à l'historique : st.session_state.messages.append({role: user content: prompt}) st.session_state.messages.append({role: assistant content: response}) 3. Rerun pour voir la conversation. 4. Testez avec des questions sur vos documents.",High,Personne C,Sprint 1
Sub-task,"ST-9.3 : Afficher les sources","1. Modifiez ask_bot pour retourner aussi les sources : return response sources. 2. Dans l'interface affichez : st.expander(📋 Sources utilisées): for source in sources: st.write(source) 3. Cela donne confiance à l'utilisateur sur les réponses.",Medium,Personne C,Sprint 1
Epic,"EPIC 5 - Finalisation & Démo","Polir le projet et préparer la présentation.",Medium,,Sprint 1
Story,"US-10 : Tests et validation (Personne A)","Vérifier que tout marche correctement.",Medium,Personne A,Sprint 1
Sub-task,"ST-10.1 : Tests des modèles ML","1. Créez test_models.py dans un dossier tests/. 2. Testez classification : assert classifier.predict([probleme urgent adsl])[0] in [Technique Reseau] 3. Testez régression : assert 0 < regressor.predict([test])[0] < 100 4. Lancez : python -m pytest tests/ pour vérifier. 5. Corrigez les erreurs trouvées.",Medium,Personne A,Sprint 1
Sub-task,"ST-10.2 : Tests du RAG","1. Dans tests/ créez test_rag.py. 2. Testez : response = ask_bot(Comment réinitialiser mot de passe?) assert wifi not in response.lower() # Vérif pas de confusion 3. Testez cas limite : response = ask_bot() # Question vide assert response != None 4. Documentez les cas qui ne marchent pas.",Medium,Personne B,Sprint 1
Sub-task,"ST-10.3 : Tests interface","1. Lancez streamlit run app/main.py. 2. Testez manuellement : upload fichier chat quelques questions analyse d'un ticket. 3. Listez tout ce qui bug ou plante. 4. Créez une checklist : ✓ Upload OK ✓ Chat OK ✓ Prédictions OK etc. 5. Corrigez un par un.",Medium,Personne C,Sprint 1
Story,"US-11 : Documentation (Personne C)","Documenter le projet pour les autres et pour vous.",High,Personne C,Sprint 1
Sub-task,"ST-11.1 : README complet","1. Réécrivez le README.md avec : Description du projet Installation étape par étape (avec pip install) Comment lancer (streamlit run app/main.py) Screenshots de l'interface Architecture (ML + RAG + UI). 2. Ajoutez une section Problèmes connus et solutions. 3. Testez les instructions sur une machine vierge si possible.",High,Personne C,Sprint 1
Sub-task,"ST-11.2 : Documentation technique","1. Créez docs/architecture.md avec le schéma : User -> Streamlit -> (ML Models + RAG) -> Database. 2. Créez docs/modeles.md avec : performances de chaque modèle hyperparamètres choisis limitations connues. 3. Expliquez pourquoi vous avez choisi Random Forest vs autres.",Medium,Personne A,Sprint 1
Sub-task,"ST-11.3 : Guide utilisation","1. Créez docs/utilisation.md pour l'utilisateur final. 2. Avec captures d'écran : Comment uploader un document Comment poser une question au chat Comment interpréter les prédictions. 3. Cas d'usage typiques avec exemples."Medium,Personne C,Sprint 1
Story,"US-12 : Préparation démo (Tous)","Préparer une démonstration qui impressionne.",High,Personne B,Sprint 1
Sub-task,"ST-12.1 : Script de démo","1. Écrivez sur papier le scénario EXACT : Phrase d'intro : Bonjour nous avons créé une plateforme hybride... Exemple 1 : Upload d'un ticket Wifi -> montre classification + chat Exemple 2 : Question complexe au chatbot Exemple 3 : Dashboard avec métriques. 2. Timing : 5min max. 3. NE JAMAIS improviser le jour J.",High,Personne B,Sprint 1
Sub-task,"ST-12.2 : Données de démo parfaites","1. Préparez 3 tickets tests qui marchent PARFAITEMENT : Ticket 1 : Problème WiFi (doit être classé IT + chatbot doit donner solution réseau) Ticket 2 : Erreur facturation (doit être classé Finance + solution billing) Ticket 3 : Bug logiciel (doit être classé Tech + solution debug). 2. Testez 10 fois chaque exemple.",High,Personne A,Sprint 1
Sub-task,"ST-12.3 : Slides de présentation","1. Créez 8 slides max : Slide 1 : Problème (tickets support difficiles à traiter) Slide 2 : Notre solution (Hybride ML + GenAI) Slide 3 : Architecture technique Slide 4 : Démo live Slide 5-6 : Résultats/Métriques Slide 7 : Limitations et améliorations Slide 8 : Questions. 2. Fonts lisibles images simples pas de texte en 8pt.",High,Personne C,Sprint 1
Sub-task,"ST-12.4 : Répétition générale","1. Répétez la démo complète 3 fois minimum. 2. Chronométrez : ça doit tenir en 10-15min avec questions. 3. Prévoyez plan B si WiFi coupe ou site plante. 4. Répartissez qui parle de quoi : A : Modèles ML B : RAG et IA C : Interface et démo. 5. Filmez-vous pour voir les défauts.",High,Personne B,Sprint 1
